import_batch,source_row,group_name,admission_year,current_semester_number,curriculum_year,academic_year,course,semester_number,semester_calendar_year,term_name,academic_term_code,subject_index,raw_subject_name,display_name,block_name,control_form,credits_total,hours_total,subject_type,subject_kind,department,is_elective,elective_module_code,is_elective_module_header,is_elective_option,include_in_subject_catalog,include_in_group_offerings_default,import_order,dedupe_key,import_note
vv_2024_sem4,2,1-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.01,Основы системного анализа и теории принятия решений,Основы системного анализа и теории принятия решений,Блок 1. Дисциплины (обязательная часть),зачет,3,108,Обязательная дисциплина,discipline,Информатики,false,,false,false,true,true,1,2024|1-См(ВВ)-2|1|Б1.О.01|Основы системного анализа и теории принятия решений,
vv_2024_sem4,2,2-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.01,Основы системного анализа и теории принятия решений,Основы системного анализа и теории принятия решений,Блок 1. Дисциплины (обязательная часть),зачет,3,108,Обязательная дисциплина,discipline,Информатики,false,,false,false,true,true,2,2024|2-См(ВВ)-2|1|Б1.О.01|Основы системного анализа и теории принятия решений,
vv_2024_sem4,3,1-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.02,Социальные коммуникации. Психология,Социальные коммуникации. Психология,Блок 1. Дисциплины (обязательная часть),зачет,3,108,Обязательная дисциплина,discipline,Истории и философии,false,,false,false,true,true,3,2024|1-См(ВВ)-2|1|Б1.О.02|Социальные коммуникации. Психология,
vv_2024_sem4,3,2-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.02,Социальные коммуникации. Психология,Социальные коммуникации. Психология,Блок 1. Дисциплины (обязательная часть),зачет,3,108,Обязательная дисциплина,discipline,Истории и философии,false,,false,false,true,true,4,2024|2-См(ВВ)-2|1|Б1.О.02|Социальные коммуникации. Психология,
vv_2024_sem4,4,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.03,Деловой иностранный язык,Деловой иностранный язык,Блок 1. Дисциплины (обязательная часть),зачет,3,108,Обязательная дисциплина,discipline,Межкультурной коммуникации,false,,false,false,true,true,5,2024|1-См(ВВ)-2|2|Б1.О.03|Деловой иностранный язык,
vv_2024_sem4,4,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.03,Деловой иностранный язык,Деловой иностранный язык,Блок 1. Дисциплины (обязательная часть),зачет,3,108,Обязательная дисциплина,discipline,Межкультурной коммуникации,false,,false,false,true,true,6,2024|2-См(ВВ)-2|2|Б1.О.03|Деловой иностранный язык,
vv_2024_sem4,5,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.04,Проектный менеджмент,Проектный менеджмент,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Менеджмента в строительстве,false,,false,false,true,true,7,2024|1-См(ВВ)-2|2|Б1.О.04|Проектный менеджмент,
vv_2024_sem4,5,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.04,Проектный менеджмент,Проектный менеджмент,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Менеджмента в строительстве,false,,false,false,true,true,8,2024|2-См(ВВ)-2|2|Б1.О.04|Проектный менеджмент,
vv_2024_sem4,6,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.05,"Командообразование, самоуправление и социальная адаптация в профессиональной деятельности","Командообразование, самоуправление и социальная адаптация в профессиональной деятельности",Блок 1. Дисциплины (обязательная часть),зачет,2,72,Обязательная дисциплина,discipline,Менеджмента в строительстве,false,,false,false,true,true,9,"2024|1-См(ВВ)-2|2|Б1.О.05|Командообразование, самоуправление и социальная адаптация в профессиональной деятельности",
vv_2024_sem4,6,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.05,"Командообразование, самоуправление и социальная адаптация в профессиональной деятельности","Командообразование, самоуправление и социальная адаптация в профессиональной деятельности",Блок 1. Дисциплины (обязательная часть),зачет,2,72,Обязательная дисциплина,discipline,Менеджмента в строительстве,false,,false,false,true,true,10,"2024|2-См(ВВ)-2|2|Б1.О.05|Командообразование, самоуправление и социальная адаптация в профессиональной деятельности",
vv_2024_sem4,7,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.06,Прикладная математика,Прикладная математика,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Информатики,false,,false,false,true,true,11,2024|1-См(ВВ)-2|2|Б1.О.06|Прикладная математика,
vv_2024_sem4,7,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.06,Прикладная математика,Прикладная математика,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Информатики,false,,false,false,true,true,12,2024|2-См(ВВ)-2|2|Б1.О.06|Прикладная математика,
vv_2024_sem4,8,1-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.07,Основы научных исследований,Основы научных исследований,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,13,2024|1-См(ВВ)-2|1|Б1.О.07|Основы научных исследований,
vv_2024_sem4,8,2-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.07,Основы научных исследований,Основы научных исследований,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,14,2024|2-См(ВВ)-2|1|Б1.О.07|Основы научных исследований,
vv_2024_sem4,9,1-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.08,Управление строительной организацией,Управление строительной организацией,Блок 1. Дисциплины (обязательная часть),зачет,2,72,Обязательная дисциплина,discipline,Менеджмента в строительстве,false,,false,false,true,true,15,2024|1-См(ВВ)-2|1|Б1.О.08|Управление строительной организацией,
vv_2024_sem4,9,2-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.08,Управление строительной организацией,Управление строительной организацией,Блок 1. Дисциплины (обязательная часть),зачет,2,72,Обязательная дисциплина,discipline,Менеджмента в строительстве,false,,false,false,true,true,16,2024|2-См(ВВ)-2|1|Б1.О.08|Управление строительной организацией,
vv_2024_sem4,10,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.09,Организация проектно-изыскательской деятельности,Организация проектно-изыскательской деятельности,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,17,2024|1-См(ВВ)-2|2|Б1.О.09|Организация проектно-изыскательской деятельности,
vv_2024_sem4,10,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.О.09,Организация проектно-изыскательской деятельности,Организация проектно-изыскательской деятельности,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,18,2024|2-См(ВВ)-2|2|Б1.О.09|Организация проектно-изыскательской деятельности,
vv_2024_sem4,11,1-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.10,Организация производственной деятельности,Организация производственной деятельности,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Организации строительства,false,,false,false,true,true,19,2024|1-См(ВВ)-2|1|Б1.О.10|Организация производственной деятельности,
vv_2024_sem4,11,2-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.О.10,Организация производственной деятельности,Организация производственной деятельности,Блок 1. Дисциплины (обязательная часть),"зачет, контр.",3,108,Обязательная дисциплина,discipline,Организации строительства,false,,false,false,true,true,20,2024|2-См(ВВ)-2|1|Б1.О.10|Организация производственной деятельности,
vv_2024_sem4,12,1-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.В.01,Системы и сооружения водоотведения,Системы и сооружения водоотведения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, КР",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,21,2024|1-См(ВВ)-2|1|Б1.В.01|Системы и сооружения водоотведения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,12,2-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.В.01,Системы и сооружения водоотведения,Системы и сооружения водоотведения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, КР",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,22,2024|2-См(ВВ)-2|1|Б1.В.01|Системы и сооружения водоотведения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,13,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.В.01,Системы и сооружения водоотведения,Системы и сооружения водоотведения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","зачет с оц., КП",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,23,2024|1-См(ВВ)-2|2|Б1.В.01|Системы и сооружения водоотведения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,13,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.В.01,Системы и сооружения водоотведения,Системы и сооружения водоотведения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","зачет с оц., КП",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,24,2024|2-См(ВВ)-2|2|Б1.В.01|Системы и сооружения водоотведения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,14,1-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.В.02,Системы и сооружения водоснабжения,Системы и сооружения водоснабжения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, КР",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,25,2024|1-См(ВВ)-2|1|Б1.В.02|Системы и сооружения водоснабжения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,14,2-См(ВВ)-2,2024,4,2024,2024/2025,1,1,2024,осень 2024,2024_fall,Б1.В.02,Системы и сооружения водоснабжения,Системы и сооружения водоснабжения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, КР",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,26,2024|2-См(ВВ)-2|1|Б1.В.02|Системы и сооружения водоснабжения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,15,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.В.02,Системы и сооружения водоснабжения,Системы и сооружения водоснабжения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, КП",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,27,2024|1-См(ВВ)-2|2|Б1.В.02|Системы и сооружения водоснабжения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,15,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.В.02,Системы и сооружения водоснабжения,Системы и сооружения водоснабжения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, КП",8,288,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,28,2024|2-См(ВВ)-2|2|Б1.В.02|Системы и сооружения водоснабжения,Дисциплина идет в 1–2 семестрах; з.е./часы указаны по дисциплине в целом.
vv_2024_sem4,16,1-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.В.03,Инженерно-технологическая реконструкция систем водоснабжения,Инженерно-технологическая реконструкция систем водоснабжения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, контр.",4,144,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,29,2024|1-См(ВВ)-2|2|Б1.В.03|Инженерно-технологическая реконструкция систем водоснабжения,
vv_2024_sem4,16,2-См(ВВ)-2,2024,4,2024,2024/2025,1,2,2025,весна 2025,2025_spring,Б1.В.03,Инженерно-технологическая реконструкция систем водоснабжения,Инженерно-технологическая реконструкция систем водоснабжения,"Блок 1. Дисциплины (часть, формируемая участниками образовательных отношений)","экзамен, контр.",4,144,Профильная дисциплина,discipline,Водопользования и экологии,false,,false,false,true,true,30,2024|2-См(ВВ)-2|2|Б1.В.03|Инженерно-технологическая реконструкция систем водоснабжения,
